2023-09-03 20:20:58 RAM 3297/3956MB (lfb 27x4MB) SWAP 1441/4026MB (cached 115MB) CPU [32%@204,24%@204,22%@204,22%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@42.5C PMIC@50C GPU@41C AO@50C thermal@42C
2023-09-03 20:21:58 RAM 3302/3956MB (lfb 27x4MB) SWAP 1441/4026MB (cached 115MB) CPU [26%@1479,26%@1479,24%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@40C AO@50.5C thermal@41.75C
2023-09-03 20:22:58 RAM 3299/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 115MB) CPU [24%@204,28%@204,33%@204,25%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43C PMIC@50C GPU@41C AO@50C thermal@42C
2023-09-03 20:23:58 RAM 3304/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 115MB) CPU [28%@204,26%@204,24%@204,27%@102] EMC_FREQ 0% GR3D_FREQ 99% PLL@38.5C CPU@42.5C PMIC@50C GPU@40.5C AO@50C thermal@41.75C
2023-09-03 20:24:58 RAM 3313/3956MB (lfb 27x4MB) SWAP 1432/4026MB (cached 114MB) CPU [25%@1479,26%@1479,24%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43C PMIC@50C GPU@40.5C AO@50.5C thermal@42C
2023-09-03 20:25:58 RAM 3309/3956MB (lfb 27x4MB) SWAP 1436/4026MB (cached 114MB) CPU [27%@1479,35%@1479,24%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43.5C PMIC@50C GPU@40.5C AO@50.5C thermal@41.5C
2023-09-03 20:26:58 RAM 3314/3956MB (lfb 27x4MB) SWAP 1436/4026MB (cached 114MB) CPU [30%@1479,28%@1479,26%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44C PMIC@50C GPU@41C AO@50.5C thermal@41.75C
2023-09-03 20:27:58 RAM 3312/3956MB (lfb 27x4MB) SWAP 1437/4026MB (cached 114MB) CPU [24%@403,23%@403,25%@403,20%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@38.5C CPU@43C PMIC@50C GPU@41C AO@50C thermal@41.75C
2023-09-03 20:28:58 RAM 3314/3956MB (lfb 27x4MB) SWAP 1448/4026MB (cached 119MB) CPU [26%@1479,29%@1479,29%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43.5C PMIC@50C GPU@41C AO@50.5C thermal@42C
2023-09-03 20:29:58 RAM 3307/3956MB (lfb 27x4MB) SWAP 1451/4026MB (cached 120MB) CPU [33%@307,29%@307,25%@307,30%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@38.5C CPU@43.5C PMIC@50C GPU@41.5C AO@50.5C thermal@42.5C
2023-09-03 20:30:58 RAM 3313/3956MB (lfb 27x4MB) SWAP 1451/4026MB (cached 120MB) CPU [25%@1479,21%@1479,22%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@44C PMIC@50C GPU@40.5C AO@50.5C thermal@42.5C
