Filename,Frente+Umida,Fundo+Intermediaria,Meio+Seca,camendoim6sCenL1
frame00031.png,0.17220666,0.24608687,0.18697713,0.39472938
frame00061.png,0.17221393,0.2460871,0.1869736,0.3947254
frame00111.png,0.17221476,0.24613439,0.187023,0.39462787
frame00121.png,0.17221129,0.24604015,0.18692581,0.3948227
frame00161.png,0.17218831,0.24604903,0.18694602,0.39481658
frame00171.png,0.17218353,0.24601737,0.1869158,0.3948833
frame00201.png,0.17219426,0.24605863,0.18695337,0.3947937
frame00291.png,0.17244583,0.24674836,0.18754524,0.39326063
frame00431.png,0.17255849,0.24708937,0.18780683,0.39254537
frame00491.png,0.17259412,0.2470271,0.18774176,0.39263704
frame00521.png,0.17254089,0.24698198,0.18771924,0.39275783
frame00561.png,0.17259961,0.24712305,0.1878409,0.39243641
frame00571.png,0.17260587,0.24714948,0.18786377,0.3923809
frame00581.png,0.17260604,0.24713334,0.18784727,0.3924133
frame00611.png,0.1726032,0.24713111,0.18784703,0.39241865
frame00691.png,0.17285617,0.2475848,0.18813084,0.39142817
frame00751.png,0.17250429,0.24670024,0.18748009,0.39331537
frame00811.png,0.17263278,0.24692602,0.18761705,0.39282414
frame00821.png,0.17261486,0.24688374,0.18758777,0.39291367
frame00941.png,0.17240547,0.24643812,0.18725917,0.39389727
frame00951.png,0.1723806,0.2463524,0.18718544,0.39408156
frame00981.png,0.17254978,0.24692337,0.18766198,0.39286485
frame01011.png,0.17244576,0.2466951,0.18749997,0.39335918
frame01141.png,0.17235485,0.24635006,0.1871967,0.39409846
frame01161.png,0.17238757,0.2466174,0.18743882,0.39355612
frame01171.png,0.17241237,0.24667127,0.18747777,0.39343855
frame01261.png,0.17291276,0.24775264,0.1882704,0.3910642
frame01281.png,0.17242785,0.246331,0.18713,0.39411113
frame01471.png,0.1723831,0.24636282,0.1871995,0.39405456
frame01481.png,0.17240797,0.24642166,0.18725112,0.39391923
frame01501.png,0.17281194,0.24754214,0.18813346,0.39151242
frame01561.png,0.17249955,0.24677734,0.18757182,0.3931513
frame01761.png,0.17239937,0.2467244,0.18756633,0.39330995
frame01901.png,0.17239605,0.24663034,0.18748328,0.39349025
frame01961.png,0.17254542,0.24708584,0.18786448,0.39250422
frame01971.png,0.17254947,0.24709609,0.18787336,0.392481
frame02011.png,0.1726309,0.24694896,0.18766005,0.3927601
frame02051.png,0.17277205,0.24771477,0.188323,0.39119014
frame02101.png,0.17236927,0.2469264,0.18778645,0.3929179
frame02141.png,0.17223017,0.24621464,0.18712427,0.39443097
frame02241.png,0.17276572,0.24755901,0.18818206,0.3914932
frame02321.png,0.17269835,0.24733636,0.18800944,0.3919558
frame02351.png,0.17284401,0.24780919,0.18839379,0.39095306
frame02381.png,0.17249532,0.24675229,0.18754493,0.39320743
frame02431.png,0.17242128,0.24647321,0.1873133,0.3937922
frame02451.png,0.1724329,0.24662033,0.18746784,0.3934789
frame02481.png,0.17251718,0.24686964,0.187636,0.3929772
frame02561.png,0.17244613,0.24665628,0.1874624,0.39343512
frame02651.png,0.17235343,0.24635617,0.18720245,0.39408794
frame02701.png,0.17241263,0.2465776,0.18741871,0.39359108
frame02841.png,0.1726655,0.24719225,0.18788074,0.3922615
frame02951.png,0.17305663,0.24818745,0.18863092,0.39012492
frame03031.png,0.17271246,0.24760371,0.18827774,0.3914061
frame03081.png,0.17267667,0.24744922,0.18813607,0.39173797
frame03131.png,0.1724843,0.24679086,0.18758772,0.39313707
frame03251.png,0.17241807,0.24648522,0.18733503,0.3937617
frame03261.png,0.17241696,0.24652222,0.1873738,0.39368704
frame03271.png,0.17239636,0.24642101,0.18728134,0.39390126
frame03311.png,0.17234667,0.24630266,0.18717077,0.39417994
frame03361.png,0.17250782,0.24667425,0.1874735,0.3933444
frame03431.png,0.1724053,0.2465264,0.18737537,0.39369297
frame03561.png,0.17264369,0.24726287,0.18796135,0.39213207
frame03621.png,0.17255427,0.24723165,0.18800679,0.39220732
frame03691.png,0.17245881,0.24726199,0.18807974,0.39219946
frame03711.png,0.17245287,0.24730763,0.18813537,0.39210415
frame03721.png,0.17242925,0.24721919,0.18806168,0.39228982
frame03781.png,0.17268953,0.24794142,0.18862282,0.39074618
frame03811.png,0.17264225,0.24726327,0.1879583,0.3921362
frame03831.png,0.1726655,0.24733514,0.18801834,0.39198107
frame04011.png,0.17286232,0.24792302,0.18849415,0.39072052
frame04021.png,0.17275956,0.24767865,0.18831562,0.3912461
frame04041.png,0.17254709,0.24720411,0.18798602,0.39226282
frame04091.png,0.17260213,0.2472997,0.18802963,0.39206856
frame04161.png,0.17256136,0.24681257,0.18757497,0.3930511
frame04201.png,0.17245631,0.24646796,0.18728733,0.39378846
frame04241.png,0.17230351,0.24622148,0.18709111,0.39438394
frame04311.png,0.17241281,0.24672756,0.18755518,0.39330444
frame04531.png,0.17312022,0.24871801,0.18913174,0.38903004
frame04561.png,0.17272894,0.24776465,0.1884339,0.39107254
frame04611.png,0.1730284,0.24877729,0.18926148,0.3889328
frame04661.png,0.17275022,0.24794222,0.18858688,0.39072067
frame04711.png,0.17274718,0.24787563,0.18850829,0.3908689
frame04721.png,0.17274123,0.24793191,0.18856646,0.39076042
frame04731.png,0.17274359,0.24790432,0.18853721,0.3908149
frame04741.png,0.17273489,0.2478193,0.1884603,0.39098555
frame04901.png,0.17252436,0.24682866,0.18761593,0.39303097
frame04921.png,0.17235124,0.24640058,0.18725605,0.3939921
frame04971.png,0.17263745,0.24709713,0.18779941,0.39246595
frame05031.png,0.17246665,0.2466918,0.18750332,0.39333823
frame05061.png,0.1724421,0.24649496,0.18731174,0.39375114
frame05121.png,0.17253901,0.24694024,0.18769301,0.39282775
frame05191.png,0.17214645,0.24581122,0.18675135,0.395291
frame05221.png,0.1721566,0.24586158,0.18679838,0.39518344
frame05301.png,0.17225023,0.24598669,0.18688314,0.39488
frame05381.png,0.17241628,0.24672855,0.18756364,0.39329147
frame05401.png,0.1727876,0.24770239,0.1883109,0.39119917
frame05431.png,0.17271563,0.24757354,0.18822616,0.3914846
frame05461.png,0.17238541,0.24688144,0.18773048,0.39300263
frame05481.png,0.17234293,0.24679783,0.18767434,0.3931849
frame05491.png,0.17229533,0.24661246,0.18751383,0.39357844
frame05501.png,0.17226927,0.24651384,0.18742238,0.3937945
frame05521.png,0.172672,0.2474503,0.18812329,0.39175445
frame05551.png,0.17252365,0.24715552,0.18790728,0.39241353
frame05651.png,0.172705,0.247662,0.18833824,0.3912948
frame05661.png,0.172699,0.24767013,0.18834862,0.39128226
frame05761.png,0.17265722,0.24732357,0.18801448,0.3920047
frame05821.png,0.17267774,0.24750288,0.18817662,0.3916428
frame05971.png,0.17263827,0.2472551,0.18795703,0.39214957
frame06061.png,0.17233458,0.24646106,0.18733403,0.39387026
frame06071.png,0.17232083,0.24644734,0.18732494,0.3939069
frame06101.png,0.17237347,0.2470435,0.18791789,0.39266518
frame06181.png,0.17226823,0.24598631,0.1868729,0.39487252
frame06211.png,0.1724587,0.24669398,0.18750414,0.39334318
frame06251.png,0.17235352,0.24642266,0.18728839,0.39393544
frame06261.png,0.17234574,0.24642363,0.18729481,0.39393583
frame06271.png,0.17234361,0.24640489,0.18727678,0.39397466
frame06341.png,0.17248635,0.24698196,0.18778116,0.3927505
frame06371.png,0.17251337,0.24703933,0.18781944,0.3926278
frame06441.png,0.17275569,0.24763191,0.1882804,0.39133203
frame06451.png,0.17275155,0.2477151,0.18836251,0.39117086
frame06501.png,0.17252757,0.24718802,0.18798122,0.3923032
frame06561.png,0.17280553,0.24779117,0.18841429,0.39098907
frame06791.png,0.17280546,0.2477259,0.18831941,0.39114928
frame06801.png,0.17280012,0.24771753,0.18831381,0.39116848
frame06831.png,0.17296581,0.24803796,0.18852606,0.39047018
frame06841.png,0.1730216,0.24815835,0.18861212,0.39020792
frame06871.png,0.17306812,0.24875186,0.18919252,0.38898754
frame06891.png,0.17307346,0.24881157,0.18925132,0.38886368
frame06961.png,0.17243741,0.24682641,0.18766128,0.39307493
frame06991.png,0.17259225,0.24736175,0.18809241,0.3919536
frame07081.png,0.17281127,0.24772193,0.18832062,0.39114618
frame07131.png,0.17240724,0.24672188,0.18755266,0.39331818
