2023-09-01 12:31:05 RAM 3574/3956MB (lfb 1x2MB) SWAP 1540/4026MB (cached 185MB) CPU [36%@1479,37%@1479,40%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 93% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@43.5C thermal@36.5C
2023-09-01 12:32:05 RAM 3579/3956MB (lfb 1x2MB) SWAP 1539/4026MB (cached 190MB) CPU [44%@1479,37%@1479,37%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38.5C PMIC@50C GPU@35.5C AO@44.5C thermal@36.75C
2023-09-01 12:33:05 RAM 3577/3956MB (lfb 1x2MB) SWAP 1532/4026MB (cached 187MB) CPU [43%@1479,36%@1479,37%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38C PMIC@50C GPU@35C AO@43.5C thermal@36.5C
2023-09-01 12:34:05 RAM 3577/3956MB (lfb 1x2MB) SWAP 1532/4026MB (cached 187MB) CPU [41%@1479,38%@1479,39%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@35.75C
2023-09-01 12:35:05 RAM 3575/3956MB (lfb 1x2MB) SWAP 1536/4026MB (cached 187MB) CPU [40%@1479,39%@1479,43%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 12:36:05 RAM 3585/3956MB (lfb 1x2MB) SWAP 1536/4026MB (cached 187MB) CPU [39%@1479,39%@1479,39%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 96% PLL@33.5C CPU@38C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 12:37:05 RAM 3522/3956MB (lfb 1x2MB) SWAP 1507/4026MB (cached 188MB) CPU [37%@1479,38%@1479,43%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 76% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 12:38:05 RAM 3521/3956MB (lfb 1x2MB) SWAP 1507/4026MB (cached 188MB) CPU [42%@1479,34%@1479,36%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 91% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 12:39:05 RAM 3521/3956MB (lfb 1x2MB) SWAP 1506/4026MB (cached 188MB) CPU [40%@1479,36%@1479,39%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@35.75C
2023-09-01 12:40:05 RAM 3518/3956MB (lfb 2x2MB) SWAP 1506/4026MB (cached 188MB) CPU [39%@1479,45%@1479,38%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@43.5C thermal@36.25C
2023-09-01 12:41:05 RAM 3519/3956MB (lfb 2x2MB) SWAP 1501/4026MB (cached 188MB) CPU [36%@1479,34%@1479,44%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 97% PLL@33.5C CPU@38C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 12:42:05 RAM 3521/3956MB (lfb 2x2MB) SWAP 1501/4026MB (cached 188MB) CPU [39%@1479,36%@1479,39%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.75C
2023-09-01 12:43:05 RAM 3530/3956MB (lfb 2x2MB) SWAP 1501/4026MB (cached 188MB) CPU [37%@1479,37%@1479,38%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38C PMIC@50C GPU@35C AO@44C thermal@36.25C
