2023-09-01 08:10:48 RAM 3537/3956MB (lfb 8x512kB) SWAP 1208/4026MB (cached 155MB) CPU [26%@204,28%@204,29%@204,25%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@34.5C AO@43.5C thermal@35.5C
2023-09-01 08:11:48 RAM 3534/3956MB (lfb 8x512kB) SWAP 1202/4026MB (cached 157MB) CPU [22%@921,26%@921,27%@921,23%@921] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@43C thermal@35.75C
2023-09-01 08:12:48 RAM 3542/3956MB (lfb 8x512kB) SWAP 1202/4026MB (cached 157MB) CPU [27%@403,30%@403,34%@403,25%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@43.5C thermal@35.75C
2023-09-01 08:13:48 RAM 3547/3956MB (lfb 8x512kB) SWAP 1203/4026MB (cached 157MB) CPU [27%@710,27%@710,33%@710,27%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34.5C AO@43.5C thermal@36.25C
2023-09-01 08:14:48 RAM 3543/3956MB (lfb 8x512kB) SWAP 1203/4026MB (cached 157MB) CPU [24%@1479,23%@1479,26%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-01 08:15:48 RAM 3546/3956MB (lfb 8x512kB) SWAP 1202/4026MB (cached 157MB) CPU [28%@1479,28%@1479,28%@1479,30%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@43.5C thermal@36C
2023-09-01 08:16:48 RAM 3550/3956MB (lfb 2x1MB) SWAP 1204/4026MB (cached 156MB) CPU [34%@1479,27%@1479,28%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@34.5C AO@44C thermal@36.5C
2023-09-01 08:17:48 RAM 3541/3956MB (lfb 1x1MB) SWAP 1206/4026MB (cached 156MB) CPU [26%@518,24%@518,25%@518,22%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36.5C
2023-09-01 08:18:48 RAM 3549/3956MB (lfb 1x1MB) SWAP 1206/4026MB (cached 156MB) CPU [28%@307,30%@307,30%@307,28%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@35.75C
2023-09-01 08:19:48 RAM 3552/3956MB (lfb 1x1MB) SWAP 1207/4026MB (cached 156MB) CPU [28%@825,24%@825,29%@825,32%@825] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 08:20:48 RAM 3548/3956MB (lfb 1x1MB) SWAP 1208/4026MB (cached 156MB) CPU [24%@204,22%@204,24%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 08:21:48 RAM 3553/3956MB (lfb 1x1MB) SWAP 1208/4026MB (cached 156MB) CPU [28%@307,29%@307,30%@307,28%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35.5C AO@44C thermal@36.25C
2023-09-01 08:22:48 RAM 3553/3956MB (lfb 1x1MB) SWAP 1210/4026MB (cached 156MB) CPU [26%@710,33%@710,30%@710,27%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38C PMIC@50C GPU@35.5C AO@44.5C thermal@36.75C
2023-09-01 08:23:48 RAM 3549/3956MB (lfb 1x1MB) SWAP 1210/4026MB (cached 156MB) CPU [24%@1132,23%@1132,24%@1132,24%@1132] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38C PMIC@50C GPU@35.5C AO@44.5C thermal@36.5C
2023-09-01 08:24:48 RAM 3553/3956MB (lfb 1x1MB) SWAP 1210/4026MB (cached 156MB) CPU [29%@1479,29%@1479,28%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34.5C CPU@38.5C PMIC@50C GPU@35.5C AO@45C thermal@37C
2023-09-01 08:25:48 RAM 3559/3956MB (lfb 1x1MB) SWAP 1210/4026MB (cached 156MB) CPU [30%@1479,28%@1479,28%@1479,29%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34.5C CPU@39C PMIC@50C GPU@36C AO@44.5C thermal@37C
2023-09-01 08:26:48 RAM 3555/3956MB (lfb 1x1MB) SWAP 1210/4026MB (cached 156MB) CPU [25%@1479,25%@1479,25%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@39C PMIC@50C GPU@36C AO@44.5C thermal@36.75C
2023-09-01 08:27:48 RAM 3556/3956MB (lfb 1x1MB) SWAP 1211/4026MB (cached 156MB) CPU [30%@1479,27%@1479,28%@1479,29%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38C PMIC@50C GPU@35.5C AO@44.5C thermal@36.75C
2023-09-01 08:28:48 RAM 3560/3956MB (lfb 1x1MB) SWAP 1213/4026MB (cached 156MB) CPU [26%@1479,32%@1479,30%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35.5C AO@44.5C thermal@36.5C
2023-09-01 08:29:48 RAM 3547/3956MB (lfb 1x1MB) SWAP 1221/4026MB (cached 156MB) CPU [24%@307,22%@307,27%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 08:30:48 RAM 3557/3956MB (lfb 1x1MB) SWAP 1223/4026MB (cached 156MB) CPU [31%@1479,29%@1479,28%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38.5C PMIC@50C GPU@35.5C AO@44.5C thermal@36.5C
2023-09-01 08:31:48 RAM 3546/3956MB (lfb 1x2MB) SWAP 1251/4026MB (cached 159MB) CPU [33%@1479,32%@1479,25%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 08:32:48 RAM 3536/3956MB (lfb 2x1MB) SWAP 1254/4026MB (cached 159MB) CPU [28%@307,24%@307,21%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@35C AO@43.5C thermal@35.5C
2023-09-01 08:33:48 RAM 3544/3956MB (lfb 1x2MB) SWAP 1260/4026MB (cached 159MB) CPU [29%@1479,27%@1479,28%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-01 08:34:48 RAM 3546/3956MB (lfb 1x2MB) SWAP 1262/4026MB (cached 159MB) CPU [31%@1479,29%@1479,29%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 08:35:48 RAM 3539/3956MB (lfb 1x2MB) SWAP 1265/4026MB (cached 159MB) CPU [25%@1479,28%@1479,24%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 08:36:48 RAM 3541/3956MB (lfb 2x2MB) SWAP 1271/4026MB (cached 159MB) CPU [29%@1479,27%@1479,26%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@36C
2023-09-01 08:37:48 RAM 3544/3956MB (lfb 2x2MB) SWAP 1271/4026MB (cached 159MB) CPU [31%@403,28%@403,27%@403,28%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@37C
2023-09-01 08:38:48 RAM 3539/3956MB (lfb 2x2MB) SWAP 1271/4026MB (cached 159MB) CPU [28%@204,30%@204,22%@204,25%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 08:39:48 RAM 3560/3956MB (lfb 2x2MB) SWAP 1273/4026MB (cached 159MB) CPU [30%@307,25%@307,27%@307,26%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 08:40:48 RAM 3524/3956MB (lfb 1x4MB) SWAP 1313/4026MB (cached 158MB) CPU [32%@307,30%@307,28%@307,26%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@37C
2023-09-01 08:41:48 RAM 3522/3956MB (lfb 1x4MB) SWAP 1315/4026MB (cached 158MB) CPU [30%@307,27%@307,26%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@34.5C AO@43.5C thermal@36C
2023-09-01 08:42:48 RAM 3521/3956MB (lfb 1x4MB) SWAP 1321/4026MB (cached 158MB) CPU [28%@307,24%@307,27%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@35.5C AO@43.5C thermal@36.25C
2023-09-01 08:43:48 RAM 3524/3956MB (lfb 1x4MB) SWAP 1327/4026MB (cached 158MB) CPU [31%@307,29%@307,29%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 08:44:48 RAM 3516/3956MB (lfb 1x4MB) SWAP 1332/4026MB (cached 158MB) CPU [29%@1479,29%@1479,27%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@34.5C AO@44C thermal@35.75C
2023-09-01 08:45:48 RAM 3525/3956MB (lfb 1x4MB) SWAP 1332/4026MB (cached 158MB) CPU [29%@307,25%@307,24%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36.5C
