2023-09-05 03:25:55 RAM 3538/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 69MB) CPU [34%@1479,33%@1479,29%@1479,32%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35.5C AO@44.5C thermal@37C
2023-09-05 03:26:55 RAM 3550/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 69MB) CPU [25%@1479,25%@1479,25%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36.75C
2023-09-05 03:27:55 RAM 3545/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 70MB) CPU [34%@1479,32%@1479,29%@1479,34%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 03:28:55 RAM 3545/3956MB (lfb 7x4MB) SWAP 2010/4026MB (cached 70MB) CPU [34%@1479,29%@1479,30%@1479,30%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35.5C AO@45C thermal@36.25C
2023-09-05 03:29:55 RAM 3549/3956MB (lfb 7x4MB) SWAP 2010/4026MB (cached 70MB) CPU [26%@1479,27%@1479,26%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 03:30:55 RAM 3550/3956MB (lfb 7x4MB) SWAP 2009/4026MB (cached 70MB) CPU [36%@1479,31%@1479,31%@1479,31%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@45C thermal@36C
2023-09-05 03:31:55 RAM 3541/3956MB (lfb 7x4MB) SWAP 2009/4026MB (cached 70MB) CPU [25%@1224,24%@1224,25%@1224,28%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35.5C AO@44.5C thermal@36C
2023-09-05 03:32:55 RAM 3551/3956MB (lfb 7x4MB) SWAP 2009/4026MB (cached 70MB) CPU [32%@1479,30%@1479,34%@1479,29%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38.5C PMIC@50C GPU@35.5C AO@44.5C thermal@36.5C
2023-09-05 03:33:55 RAM 3549/3956MB (lfb 7x4MB) SWAP 2008/4026MB (cached 70MB) CPU [32%@1479,28%@1479,34%@1479,33%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35.5C AO@44.5C thermal@36C
2023-09-05 03:34:55 RAM 3550/3956MB (lfb 7x4MB) SWAP 2008/4026MB (cached 70MB) CPU [27%@1479,26%@1479,24%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38.5C PMIC@50C GPU@35C AO@44.5C thermal@37C
2023-09-05 03:35:55 RAM 3547/3956MB (lfb 7x4MB) SWAP 2008/4026MB (cached 70MB) CPU [33%@1479,31%@1479,31%@1479,34%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38C PMIC@50C GPU@35C AO@44.5C thermal@36.5C
2023-09-05 03:36:55 RAM 3551/3956MB (lfb 7x4MB) SWAP 2010/4026MB (cached 70MB) CPU [36%@1224,30%@1479,30%@1479,32%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-05 03:37:55 RAM 3546/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 70MB) CPU [28%@1479,26%@1479,25%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@34.5C AO@44.5C thermal@35.75C
2023-09-05 03:38:55 RAM 3543/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 70MB) CPU [34%@1224,33%@1224,30%@1224,36%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@35.75C
