2023-08-24 06:37:54 RAM 3247/3956MB (lfb 88x4MB) SWAP 1819/4026MB (cached 113MB) CPU [20%@102,20%@102,20%@102,19%@102] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@47C thermal@39.5C
2023-08-24 06:38:54 RAM 3249/3956MB (lfb 88x4MB) SWAP 1819/4026MB (cached 113MB) CPU [23%@518,21%@518,28%@518,21%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40.5C PMIC@50C GPU@38.5C AO@47C thermal@39C
2023-08-24 06:39:54 RAM 3249/3956MB (lfb 88x4MB) SWAP 1820/4026MB (cached 113MB) CPU [20%@1036,20%@1036,20%@1036,19%@1036] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@39C
2023-08-24 06:40:54 RAM 3247/3956MB (lfb 88x4MB) SWAP 1820/4026MB (cached 113MB) CPU [21%@1479,20%@1479,20%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@39C
2023-08-24 06:41:54 RAM 3249/3956MB (lfb 88x4MB) SWAP 1822/4026MB (cached 113MB) CPU [19%@102,20%@102,19%@102,20%@102] EMC_FREQ 0% GR3D_FREQ 99% PLL@35C CPU@40C PMIC@50C GPU@37.5C AO@46.5C thermal@38.75C
2023-08-24 06:42:54 RAM 3250/3956MB (lfb 88x4MB) SWAP 1822/4026MB (cached 113MB) CPU [28%@204,23%@204,22%@204,20%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@40C PMIC@50C GPU@38.5C AO@46.5C thermal@39.25C
2023-08-24 06:43:54 RAM 3256/3956MB (lfb 88x4MB) SWAP 1822/4026MB (cached 113MB) CPU [21%@1479,19%@1479,21%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@38.75C
2023-08-24 06:44:54 RAM 3255/3956MB (lfb 88x4MB) SWAP 1821/4026MB (cached 113MB) CPU [21%@1479,19%@1479,19%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@47C thermal@39C
2023-08-24 06:45:54 RAM 3232/3956MB (lfb 88x4MB) SWAP 1800/4026MB (cached 112MB) CPU [23%@1224,24%@1224,23%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40.5C PMIC@50C GPU@37.5C AO@47C thermal@39.25C
2023-08-24 06:46:54 RAM 3240/3956MB (lfb 88x4MB) SWAP 1799/4026MB (cached 112MB) CPU [21%@921,19%@921,21%@921,20%@921] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@39C
