2023-09-04 00:02:19 RAM 3219/3956MB (lfb 11x4MB) SWAP 1762/4026MB (cached 136MB) CPU [25%@1479,26%@1479,30%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@35.75C
2023-09-04 00:03:19 RAM 3222/3956MB (lfb 11x4MB) SWAP 1762/4026MB (cached 136MB) CPU [27%@1479,26%@1479,27%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-04 00:04:19 RAM 3228/3956MB (lfb 11x4MB) SWAP 1761/4026MB (cached 136MB) CPU [27%@204,22%@204,20%@204,19%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-04 00:05:19 RAM 3223/3956MB (lfb 11x4MB) SWAP 1763/4026MB (cached 136MB) CPU [31%@1479,30%@1479,28%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@34.5C AO@43.5C thermal@35.5C
2023-09-04 00:06:19 RAM 3227/3956MB (lfb 11x4MB) SWAP 1757/4026MB (cached 136MB) CPU [30%@204,27%@204,28%@204,26%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36.5C PMIC@50C GPU@34.5C AO@43C thermal@35.25C
2023-09-04 00:07:19 RAM 3216/3956MB (lfb 11x4MB) SWAP 1756/4026MB (cached 136MB) CPU [28%@1479,27%@1479,27%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34.5C AO@43.5C thermal@35.25C
2023-09-04 00:08:19 RAM 3219/3956MB (lfb 11x4MB) SWAP 1756/4026MB (cached 136MB) CPU [24%@614,19%@614,19%@614,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43.5C thermal@35.5C
2023-09-04 00:09:19 RAM 3223/3956MB (lfb 11x4MB) SWAP 1756/4026MB (cached 136MB) CPU [24%@403,26%@403,27%@403,26%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34.5C AO@43.5C thermal@35.75C
2023-09-04 00:10:19 RAM 3218/3956MB (lfb 11x4MB) SWAP 1756/4026MB (cached 136MB) CPU [28%@518,28%@518,27%@518,25%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34.5C AO@43.5C thermal@35.25C
2023-09-04 00:11:19 RAM 3207/3956MB (lfb 11x4MB) SWAP 1747/4026MB (cached 131MB) CPU [29%@403,25%@403,26%@403,29%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36.5C PMIC@50C GPU@34C AO@43.5C thermal@35.5C
2023-09-04 00:12:19 RAM 3212/3956MB (lfb 11x4MB) SWAP 1747/4026MB (cached 131MB) CPU [24%@518,20%@518,18%@518,21%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:13:19 RAM 3214/3956MB (lfb 11x4MB) SWAP 1751/4026MB (cached 131MB) CPU [33%@1224,23%@1224,25%@1224,24%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@33.5C AO@43C thermal@35C
2023-09-04 00:14:19 RAM 3216/3956MB (lfb 11x4MB) SWAP 1750/4026MB (cached 131MB) CPU [31%@1479,28%@1479,26%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@33.5C AO@43.5C thermal@34.5C
2023-09-04 00:15:19 RAM 3213/3956MB (lfb 11x4MB) SWAP 1750/4026MB (cached 131MB) CPU [28%@1479,25%@1479,28%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@34C AO@43C thermal@34.75C
2023-09-04 00:16:19 RAM 3217/3956MB (lfb 11x4MB) SWAP 1750/4026MB (cached 131MB) CPU [25%@307,21%@307,18%@307,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@35.5C PMIC@50C GPU@33.5C AO@43C thermal@34.5C
2023-09-04 00:17:19 RAM 3214/3956MB (lfb 11x4MB) SWAP 1750/4026MB (cached 131MB) CPU [26%@1479,26%@1479,25%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:18:19 RAM 3221/3956MB (lfb 11x4MB) SWAP 1751/4026MB (cached 131MB) CPU [29%@307,28%@307,25%@307,23%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@35.5C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:19:19 RAM 3211/3956MB (lfb 11x4MB) SWAP 1751/4026MB (cached 131MB) CPU [27%@1479,27%@1479,30%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37.5C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:20:19 RAM 3211/3956MB (lfb 11x4MB) SWAP 1751/4026MB (cached 131MB) CPU [23%@307,20%@307,20%@307,20%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@34.75C
2023-09-04 00:21:19 RAM 3218/3956MB (lfb 11x4MB) SWAP 1751/4026MB (cached 131MB) CPU [26%@403,26%@403,27%@403,26%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:22:19 RAM 3215/3956MB (lfb 11x4MB) SWAP 1754/4026MB (cached 131MB) CPU [27%@307,25%@307,27%@307,28%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:23:19 RAM 3214/3956MB (lfb 11x4MB) SWAP 1754/4026MB (cached 131MB) CPU [27%@403,26%@403,26%@403,27%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35.5C
2023-09-04 00:24:19 RAM 3214/3956MB (lfb 11x4MB) SWAP 1754/4026MB (cached 131MB) CPU [26%@518,19%@518,18%@518,21%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:25:19 RAM 3214/3956MB (lfb 20x4MB) SWAP 1754/4026MB (cached 131MB) CPU [31%@307,24%@307,26%@307,24%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34C AO@43.5C thermal@35.25C
2023-09-04 00:26:19 RAM 3221/3956MB (lfb 22x4MB) SWAP 1754/4026MB (cached 131MB) CPU [27%@614,23%@614,29%@614,28%@614] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34.5C AO@43.5C thermal@35.75C
