2023-08-27 23:27:32 RAM 3449/3956MB (lfb 5x2MB) SWAP 1521/4026MB (cached 115MB) CPU [20%@1224,20%@1224,23%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@41.5C PMIC@50C GPU@39C AO@48C thermal@39.5C
2023-08-27 23:28:32 RAM 3445/3956MB (lfb 5x2MB) SWAP 1520/4026MB (cached 115MB) CPU [21%@1224,20%@1224,25%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40.5C PMIC@50C GPU@38.5C AO@47.5C thermal@39.75C
2023-08-27 23:29:32 RAM 3443/3956MB (lfb 5x2MB) SWAP 1528/4026MB (cached 115MB) CPU [21%@1224,19%@1224,24%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@37C CPU@40.5C PMIC@50C GPU@38.5C AO@47.5C thermal@40C
2023-08-27 23:30:32 RAM 3468/3956MB (lfb 1x2MB) SWAP 1527/4026MB (cached 113MB) CPU [25%@1224,26%@1224,29%@1224,26%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@41C PMIC@50C GPU@39C AO@48.5C thermal@39.75C
2023-08-27 23:31:32 RAM 3461/3956MB (lfb 1x4MB) SWAP 1526/4026MB (cached 113MB) CPU [15%@1224,19%@1224,19%@1224,18%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@38C CPU@41.5C PMIC@50C GPU@39.5C AO@49C thermal@40.25C
2023-08-27 23:32:32 RAM 3457/3956MB (lfb 1x4MB) SWAP 1524/4026MB (cached 116MB) CPU [21%@1224,21%@1224,23%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@46C PMIC@50C GPU@42.5C AO@51.5C thermal@43.75C
2023-08-27 23:33:32 RAM 3454/3956MB (lfb 2x2MB) SWAP 1533/4026MB (cached 117MB) CPU [21%@1224,23%@1224,23%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47.5C PMIC@50C GPU@45C AO@54C thermal@45.75C
2023-08-27 23:34:32 RAM 3447/3956MB (lfb 2x2MB) SWAP 1533/4026MB (cached 117MB) CPU [21%@1224,21%@1224,23%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@47.5C AO@56.5C thermal@48.75C
2023-08-27 23:35:32 RAM 3450/3956MB (lfb 2x2MB) SWAP 1533/4026MB (cached 117MB) CPU [21%@1224,19%@1224,19%@1224,19%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@47.5C CPU@51C PMIC@50C GPU@49C AO@58.5C thermal@50C
2023-08-27 23:36:32 RAM 3419/3956MB (lfb 3x2MB) SWAP 1556/4026MB (cached 117MB) CPU [20%@1224,20%@1224,18%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@49.5C CPU@54C PMIC@50C GPU@51.5C AO@60.5C thermal@52.25C
2023-08-27 23:37:32 RAM 3422/3956MB (lfb 4x2MB) SWAP 1556/4026MB (cached 117MB) CPU [20%@1479,22%@1479,20%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@49C CPU@53C PMIC@50C GPU@50.5C AO@60.5C thermal@52C
2023-08-27 23:38:32 RAM 3425/3956MB (lfb 5x2MB) SWAP 1556/4026MB (cached 117MB) CPU [22%@307,20%@307,16%@307,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@46.5C CPU@50.5C PMIC@50C GPU@48.5C AO@58C thermal@49.5C
2023-08-27 23:39:32 RAM 3422/3956MB (lfb 5x2MB) SWAP 1555/4026MB (cached 116MB) CPU [21%@1479,21%@1479,19%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 22% PLL@45C CPU@49.5C PMIC@50C GPU@47.5C AO@56.5C thermal@48.5C
2023-08-27 23:40:32 RAM 3425/3956MB (lfb 5x2MB) SWAP 1552/4026MB (cached 114MB) CPU [19%@1224,15%@1224,17%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@46.5C AO@55.5C thermal@47.5C
2023-08-27 23:41:32 RAM 3434/3956MB (lfb 5x2MB) SWAP 1550/4026MB (cached 125MB) CPU [18%@1224,19%@1224,17%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48C PMIC@50C GPU@45.5C AO@55C thermal@47.25C
