2023-08-31 04:37:33 RAM 3424/3956MB (lfb 9x2MB) SWAP 1208/4026MB (cached 142MB) CPU [14%@102,16%@102,14%@102,14%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@26.5C CPU@30C PMIC@50C GPU@28.5C AO@37.5C thermal@29.5C
2023-08-31 04:38:33 RAM 3379/3956MB (lfb 4x1MB) SWAP 1236/4026MB (cached 165MB) CPU [39%@825,35%@825,35%@825,32%@825] EMC_FREQ 0% GR3D_FREQ 0% PLL@27.5C CPU@30.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30C
2023-08-31 04:39:33 RAM 2042/3956MB (lfb 2x4MB) SWAP 962/4026MB (cached 173MB) CPU [16%@1479,15%@1479,15%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 67% PLL@28.5C CPU@33C PMIC@50C GPU@28.5C AO@39C thermal@29.5C
2023-08-31 04:40:33 RAM 3122/3956MB (lfb 2x1MB) SWAP 961/4026MB (cached 171MB) CPU [22%@102,23%@102,20%@102,19%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@27.5C CPU@30C PMIC@50C GPU@28C AO@38.5C thermal@29.25C
2023-08-31 04:41:33 RAM 3474/3956MB (lfb 2x512kB) SWAP 962/4026MB (cached 169MB) CPU [14%@204,15%@204,11%@204,10%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@27.5C CPU@30.5C PMIC@50C GPU@29.5C AO@38C thermal@30.75C
2023-08-31 04:42:33 RAM 3618/3956MB (lfb 3x512kB) SWAP 981/4026MB (cached 161MB) CPU [19%@1479,17%@1479,15%@1479,14%@1479] EMC_FREQ 0% GR3D_FREQ 12% PLL@28.5C CPU@32C PMIC@50C GPU@29C AO@39C thermal@31.75C
2023-08-31 04:43:33 RAM 3600/3956MB (lfb 3x1MB) SWAP 1041/4026MB (cached 106MB) CPU [29%@1479,39%@1479,34%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 92% PLL@31.5C CPU@35.5C PMIC@50C GPU@33C AO@42.5C thermal@34.25C
2023-08-31 04:44:33 RAM 3580/3956MB (lfb 1x1MB) SWAP 1044/4026MB (cached 102MB) CPU [42%@1479,23%@1479,21%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-08-31 04:45:33 RAM 3568/3956MB (lfb 5x1MB) SWAP 1050/4026MB (cached 97MB) CPU [31%@1479,46%@1479,39%@1479,34%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@37C CPU@40.5C PMIC@50C GPU@38C AO@47.5C thermal@38.75C
2023-08-31 04:46:33 RAM 3583/3956MB (lfb 3x1MB) SWAP 1049/4026MB (cached 96MB) CPU [47%@1479,34%@1479,28%@1479,33%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@42.5C PMIC@50C GPU@40C AO@49.5C thermal@41.5C
