2023-09-04 23:09:32 RAM 3464/3956MB (lfb 1x4MB) SWAP 2009/4026MB (cached 81MB) CPU [42%@1479,38%@1479,40%@1479,34%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C CPU@35C PMIC@50C GPU@31.5C AO@41.5C thermal@33.75C
2023-09-04 23:10:32 RAM 3467/3956MB (lfb 1x4MB) SWAP 2007/4026MB (cached 81MB) CPU [41%@1479,35%@1479,39%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 54% PLL@31C CPU@36C PMIC@50C GPU@32C AO@41.5C thermal@33C
2023-09-04 23:11:32 RAM 3463/3956MB (lfb 1x4MB) SWAP 2013/4026MB (cached 80MB) CPU [42%@1479,34%@1479,41%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@30.5C CPU@34.5C PMIC@50C GPU@31.5C AO@41.5C thermal@33C
2023-09-04 23:12:32 RAM 3468/3956MB (lfb 1x4MB) SWAP 2013/4026MB (cached 80MB) CPU [37%@1479,35%@1479,39%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@31.5C CPU@33C PMIC@50C GPU@31.5C AO@41.5C thermal@33C
2023-09-04 23:13:32 RAM 3464/3956MB (lfb 1x4MB) SWAP 2013/4026MB (cached 80MB) CPU [37%@1479,37%@1479,40%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 45% PLL@31.5C CPU@34.5C PMIC@50C GPU@32C AO@41.5C thermal@33C
2023-09-04 23:14:32 RAM 3453/3956MB (lfb 2x4MB) SWAP 2013/4026MB (cached 57MB) CPU [39%@1479,35%@1479,39%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C CPU@33.5C PMIC@50C GPU@31.5C AO@41.5C thermal@33C
2023-09-04 23:15:32 RAM 3453/3956MB (lfb 2x4MB) SWAP 2013/4026MB (cached 57MB) CPU [39%@1479,39%@1479,38%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@33.5C PMIC@50C GPU@31.5C AO@41.5C thermal@32.75C
2023-09-04 23:16:32 RAM 3441/3956MB (lfb 2x4MB) SWAP 2014/4026MB (cached 52MB) CPU [34%@1479,42%@1479,37%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 30% PLL@31C CPU@35.5C PMIC@50C GPU@32C AO@41.5C thermal@33.75C
2023-09-04 23:17:32 RAM 3442/3956MB (lfb 1x4MB) SWAP 2014/4026MB (cached 34MB) CPU [41%@1479,34%@1479,39%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 67% PLL@30.5C CPU@34C PMIC@50C GPU@31.5C AO@42C thermal@33.5C
2023-09-04 23:18:32 RAM 3423/3956MB (lfb 1x4MB) SWAP 2014/4026MB (cached 12MB) CPU [39%@1479,34%@1479,40%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 8% PLL@31C CPU@35.5C PMIC@50C GPU@32C AO@41.5C thermal@33.75C
2023-09-04 23:19:32 RAM 3429/3956MB (lfb 1x4MB) SWAP 2013/4026MB (cached 12MB) CPU [33%@1479,39%@1479,43%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C CPU@34C PMIC@50C GPU@31.5C AO@41.5C thermal@32.5C
2023-09-04 23:20:32 RAM 3426/3956MB (lfb 1x4MB) SWAP 2013/4026MB (cached 12MB) CPU [38%@1479,39%@1479,38%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 27% PLL@30.5C CPU@35C PMIC@50C GPU@32C AO@41.5C thermal@32.25C
2023-09-04 23:21:32 RAM 3421/3956MB (lfb 1x4MB) SWAP 2019/4026MB (cached 8MB) CPU [40%@1479,43%@1479,35%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@31C CPU@34C PMIC@50C GPU@31.5C AO@41.5C thermal@33.75C
2023-09-04 23:22:32 RAM 3419/3956MB (lfb 1x4MB) SWAP 2013/4026MB (cached 8MB) CPU [40%@1479,36%@1479,36%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 96% PLL@31C CPU@34.5C PMIC@50C GPU@31.5C AO@41.5C thermal@33C
2023-09-04 23:23:32 RAM 3411/3956MB (lfb 1x4MB) SWAP 2051/4026MB (cached 32MB) CPU [41%@1479,37%@1479,36%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 94% PLL@30.5C CPU@35C PMIC@50C GPU@32C AO@41.5C thermal@33.25C
