Filename,Frente+Umida,Fundo+Intermediaria,Meio+Seca,camendoim6sCenL1
frame00031.png,0.13039093,0.14618172,0.19338708,0.5300403
frame00061.png,0.13036178,0.14616643,0.1933509,0.53012085
frame00111.png,0.13033643,0.1464961,0.1936804,0.5294871
frame00121.png,0.1304037,0.14618476,0.19347483,0.5299367
frame00161.png,0.1303373,0.14624529,0.19340912,0.5300084
frame00171.png,0.13034989,0.14626357,0.19346693,0.5299197
frame00201.png,0.13034911,0.14637838,0.19358465,0.5296878
frame00291.png,0.12993331,0.1471288,0.1932529,0.52968496
frame00431.png,0.131109,0.14700444,0.1937258,0.52816075
frame00491.png,0.13127705,0.14571187,0.19264327,0.5303678
frame00521.png,0.13061015,0.14507236,0.19128096,0.53303653
frame00561.png,0.13125682,0.14568654,0.1926695,0.53038716
frame00571.png,0.1311898,0.14569803,0.19263305,0.53047913
frame00581.png,0.13121155,0.14567865,0.19266728,0.5304425
frame00611.png,0.13117872,0.1457092,0.19267252,0.5304395
frame00691.png,0.13190524,0.14471586,0.19202535,0.5313535
frame00751.png,0.13233638,0.14597452,0.19365357,0.5280356
frame00811.png,0.13204041,0.1466519,0.19407581,0.5272319
frame00821.png,0.13200931,0.14680614,0.19421968,0.5269649
frame00941.png,0.13221657,0.14663887,0.19459094,0.5265537
frame00951.png,0.13225536,0.14665817,0.1945943,0.5264922
frame00981.png,0.13197652,0.14710866,0.19502953,0.5258853
frame01011.png,0.13212557,0.14701852,0.1945325,0.52632344
frame01141.png,0.13217846,0.14649843,0.19465792,0.5266652
frame01161.png,0.13199313,0.14716382,0.19476557,0.52607745
frame01171.png,0.13199963,0.14720488,0.19479986,0.52599573
frame01261.png,0.13086525,0.14588943,0.19245158,0.5307937
frame01281.png,0.1318568,0.14693858,0.19456764,0.526637
frame01471.png,0.1317606,0.14422716,0.19216764,0.5318447
frame01481.png,0.1318185,0.14410345,0.19209102,0.531987
frame01501.png,0.13158913,0.14275101,0.19083373,0.5348261
frame01561.png,0.1318024,0.14376332,0.19178785,0.5326465
frame01761.png,0.1320248,0.142684,0.1908131,0.5344781
frame01901.png,0.13072176,0.14088346,0.18882403,0.5395708
frame01961.png,0.13184448,0.14280626,0.19036984,0.5349794
frame01971.png,0.1318855,0.14290336,0.19052592,0.53468525
frame02011.png,0.13170253,0.14389232,0.19075283,0.5336523
frame02051.png,0.13125555,0.14442688,0.19099772,0.5333199
frame02101.png,0.1319838,0.14437346,0.19182993,0.53181285
frame02141.png,0.12989329,0.14483897,0.19185686,0.5334109
frame02241.png,0.13124683,0.14372674,0.19132821,0.53369814
frame02321.png,0.13149068,0.1435809,0.19126086,0.53366756
frame02351.png,0.13165794,0.14280696,0.19064477,0.5348903
frame02381.png,0.13173936,0.14139533,0.18978842,0.5370769
frame02431.png,0.13218206,0.14572085,0.19422224,0.5278748
frame02451.png,0.1327473,0.14440608,0.19344619,0.5294004
frame02481.png,0.13183033,0.14270902,0.1910266,0.5344341
frame02561.png,0.13188039,0.1437461,0.19218883,0.53218466
frame02651.png,0.13193864,0.14473492,0.19303617,0.53029025
frame02701.png,0.13140497,0.14238574,0.19004475,0.5361646
frame02841.png,0.12980725,0.14131805,0.18709032,0.5417844
frame02951.png,0.12956305,0.14010678,0.18705635,0.54327387
frame03031.png,0.1300517,0.14073813,0.1872846,0.5419255
frame03081.png,0.12869078,0.13565926,0.18187521,0.5537747
frame03131.png,0.13085616,0.14191599,0.18996795,0.53725994
frame03251.png,0.1311461,0.14192875,0.18993838,0.53698677
frame03261.png,0.131174,0.14202303,0.18997073,0.5368323
frame03271.png,0.13065927,0.1417459,0.189121,0.53847384
frame03311.png,0.13085894,0.14097796,0.18867598,0.5394871
frame03361.png,0.13101034,0.14173637,0.18971224,0.5375411
frame03431.png,0.13115671,0.1433379,0.19134656,0.5341588
frame03561.png,0.13096225,0.14431842,0.19188191,0.53283745
frame03621.png,0.1295437,0.14368805,0.19086468,0.5359036
frame03691.png,0.13036974,0.14528473,0.19179624,0.53254926
frame03711.png,0.13048257,0.14534082,0.19203569,0.53214085
frame03721.png,0.13052762,0.14537138,0.19192158,0.5321794
frame03781.png,0.13040462,0.1436382,0.18938076,0.53657645
frame03811.png,0.13090664,0.14297956,0.18937975,0.53673404
frame03831.png,0.13097052,0.1428473,0.18937695,0.5368053
frame04011.png,0.13130896,0.1425486,0.19022115,0.53592134
frame04021.png,0.13119994,0.14285558,0.19043264,0.53551185
frame04041.png,0.1307816,0.14326726,0.19054942,0.5354017
frame04091.png,0.13104193,0.14354368,0.19130906,0.53410536
frame04161.png,0.13203625,0.14503671,0.1938335,0.5290935
frame04201.png,0.13267529,0.14471743,0.19390549,0.5287017
frame04241.png,0.13201657,0.1450035,0.19375794,0.529222
frame04311.png,0.1319224,0.14593786,0.19405174,0.528088
frame04531.png,0.13064356,0.14336975,0.19055204,0.53543466
frame04561.png,0.12960674,0.14095466,0.18757181,0.5418668
frame04611.png,0.12914939,0.14380473,0.18968166,0.53736424
