epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6091728806495667,0.9305179119110107,0.001,0.6534246802330017,0.8436617851257324
1,0.6911015510559082,0.7285844683647156,0.001,0.7219178080558777,0.6582524180412292
2,0.7110936641693115,0.6788056492805481,0.001,0.7630137205123901,0.5416337251663208
3,0.7255977988243103,0.6330047249794006,0.001,0.767123281955719,0.5323136448860168
4,0.7487260103225708,0.5970885753631592,0.001,0.7904109358787537,0.49611765146255493
5,0.7542140483856201,0.5909839868545532,0.001,0.7808219194412231,0.5504037141799927
6,0.7499020099639893,0.5757365822792053,0.001,0.7808219194412231,0.5159136056900024
7,0.7479419708251953,0.564059853553772,0.001,0.7876712083816528,0.5285079479217529
8,0.7695021629333496,0.5432064533233643,0.001,0.783561646938324,0.5615980625152588
9,0.773030161857605,0.5362149477005005,0.001,0.7575342655181885,0.5482431650161743
10,0.7894943356513977,0.48835647106170654,0.000100000005,0.8082191944122314,0.4731496274471283
11,0.8020384311676025,0.48072871565818787,0.000100000005,0.8082191944122314,0.46107345819473267
12,0.7945903539657593,0.4799787104129791,0.000100000005,0.8082191944122314,0.4488557279109955
13,0.8090944886207581,0.46215227246284485,0.000100000005,0.8068493008613586,0.46146655082702637
14,0.803214430809021,0.4752139449119568,0.000100000005,0.8068493008613586,0.4411405920982361
15,0.8087024688720703,0.4572431743144989,0.000100000005,0.8150684833526611,0.44679516553878784
16,0.7945903539657593,0.4774612486362457,0.000100000005,0.8164383769035339,0.43725624680519104
17,0.8118385076522827,0.43763163685798645,0.000100000005,0.8136986494064331,0.4573458731174469
18,0.8137984871864319,0.4478699862957001,0.000100000005,0.8095890283584595,0.43976274132728577
19,0.8134065270423889,0.4375033974647522,0.000100000005,0.835616409778595,0.4158712327480316
20,0.8122305274009705,0.4444343149662018,0.000100000005,0.8095890283584595,0.4671153724193573
21,0.8047824501991272,0.45331358909606934,0.000100000005,0.8232876658439636,0.44256383180618286
22,0.8063504695892334,0.4361799955368042,0.000100000005,0.8342465758323669,0.4051845669746399
23,0.8185025453567505,0.43750450015068054,0.000100000005,0.8205479383468628,0.44399166107177734
24,0.8141905069351196,0.43993738293647766,0.000100000005,0.817808210849762,0.442068487405777
25,0.8251665830612183,0.4239203929901123,0.000100000005,0.8095890283584595,0.4406328499317169
26,0.8220306038856506,0.41705721616744995,0.000100000005,0.8438355922698975,0.3896491825580597
27,0.8247746229171753,0.4212023913860321,0.000100000005,0.8164383769035339,0.42259642481803894
28,0.8271266222000122,0.40553486347198486,0.000100000005,0.8369863033294678,0.4025542736053467
29,0.825558602809906,0.41486018896102905,0.000100000005,0.8082191944122314,0.4381789565086365
30,0.8220306038856506,0.4250487685203552,0.000100000005,0.8136986494064331,0.4293244779109955
31,0.8224225640296936,0.4253995418548584,0.000100000005,0.8191781044006348,0.4160061776638031
32,0.8220306038856506,0.4246883988380432,1e-04,0.8273972868919373,0.39463040232658386
33,0.8137984871864319,0.41594237089157104,1e-04,0.8260273933410645,0.4190683960914612
34,0.8204625844955444,0.4253615736961365,1e-04,0.8095890283584595,0.41125965118408203
35,0.8271266222000122,0.4008283317089081,1e-04,0.8246575593948364,0.4028126001358032
36,0.8310466408729553,0.4037954807281494,1e-04,0.8219178318977356,0.41751500964164734
