epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.49803921580314636,1.1915876865386963,0.001,0.3030746579170227,3.0003278255462646
1,0.5694117546081543,0.8878383636474609,0.001,0.28550511598587036,1.7970281839370728
2,0.572549045085907,0.8772624731063843,0.001,0.6251830458641052,0.8213635683059692
3,0.5882353186607361,0.8325182795524597,0.001,0.6515373587608337,0.7117241024971008
4,0.6047058701515198,0.7962557673454285,0.001,0.4758418798446655,1.1199276447296143
5,0.6070588231086731,0.7869791984558105,0.001,0.6383602023124695,0.7482773661613464
6,0.6235294342041016,0.7717649340629578,0.001,0.6530014872550964,0.7045239210128784
7,0.6450980305671692,0.713333785533905,0.001,0.6661786437034607,0.7991992235183716
8,0.6454901695251465,0.7311655879020691,0.001,0.6471449732780457,0.7581645250320435
9,0.6505882143974304,0.6927552223205566,0.001,0.7027818560600281,0.6447883248329163
10,0.6541176438331604,0.6821944117546082,0.001,0.6661786437034607,0.7276387214660645
11,0.6690195798873901,0.6762334108352661,0.001,0.751098096370697,0.5839385390281677
12,0.6670588254928589,0.6680911779403687,0.001,0.7057101130485535,0.5513556599617004
13,0.6800000071525574,0.6526898145675659,0.001,0.7452415823936462,0.6052765250205994
14,0.6725490093231201,0.6511069536209106,0.001,0.7481698393821716,0.5758974552154541
15,0.6901960968971252,0.6239863038063049,0.001,0.6925329566001892,0.6351861953735352
16,0.6854901909828186,0.6493065357208252,0.001,0.6661786437034607,0.6719291806221008
17,0.7176470756530762,0.5916739702224731,0.001,0.7891654372215271,0.4994535446166992
18,0.701568603515625,0.6011021733283997,0.001,0.7232796549797058,0.611173152923584
19,0.7101960778236389,0.5880088210105896,0.001,0.7115666270256042,0.6671233773231506
20,0.7219607830047607,0.5834739208221436,0.001,0.6720351576805115,0.6900085806846619
21,0.7168627381324768,0.5857771039009094,0.001,0.7013177275657654,0.5743429660797119
22,0.7160784602165222,0.5901687145233154,0.001,0.7789165377616882,0.4940967857837677
23,0.7368627190589905,0.5484907031059265,0.001,0.8111273646354675,0.43347007036209106
24,0.7435294389724731,0.5461886525154114,0.001,0.6588580012321472,0.8924718499183655
25,0.7337254881858826,0.5656542778015137,0.001,0.6808199286460876,0.7924770712852478
26,0.730980396270752,0.5658850073814392,0.001,0.8257686495780945,0.452221542596817
27,0.7623529434204102,0.5269737243652344,0.001,0.7906295657157898,0.4469909965991974
28,0.7560784220695496,0.5261474847793579,0.001,0.8199121356010437,0.41543588042259216
29,0.753333330154419,0.5068108439445496,0.001,0.8008784651756287,0.5195682048797607
30,0.751764714717865,0.5331264138221741,0.001,0.7349926829338074,0.6234031319618225
31,0.7525489926338196,0.5303851962089539,0.001,0.8140556216239929,0.41981375217437744
32,0.7674509882926941,0.5160732865333557,0.001,0.765739381313324,0.5521050691604614
33,0.7686274647712708,0.4922831356525421,0.001,0.8316251635551453,0.40405184030532837
34,0.7768627405166626,0.5045735239982605,0.001,0.7920936942100525,0.5042327046394348
35,0.7745097875595093,0.4896048307418823,0.001,0.8389458060264587,0.38023775815963745
36,0.7717646956443787,0.5045405626296997,0.001,0.7379209399223328,0.6640216112136841
37,0.772549033164978,0.4940030574798584,0.001,0.7613469958305359,0.5595141649246216
38,0.7847058773040771,0.485038161277771,0.001,0.833089292049408,0.4043709635734558
39,0.7835294008255005,0.4813220798969269,0.001,0.69838947057724,0.7751233577728271
40,0.7866666913032532,0.45750364661216736,0.001,0.7525622248649597,0.6186403632164001
41,0.7854902148246765,0.4910767078399658,0.001,0.7862371802330017,0.4858267605304718
42,0.7898039221763611,0.47569504380226135,0.001,0.7437774538993835,0.6100288033485413
43,0.7811764478683472,0.4833509922027588,0.001,0.7335285544395447,0.7719793319702148
44,0.792941153049469,0.4414075016975403,0.000100000005,0.8594436049461365,0.3224712610244751
45,0.8254901766777039,0.40405920147895813,0.000100000005,0.8594436049461365,0.3213121294975281
46,0.8266666531562805,0.3896409273147583,0.000100000005,0.8535870909690857,0.32032647728919983
47,0.8211764693260193,0.3985002040863037,0.000100000005,0.8609077334403992,0.3135509490966797
48,0.820784330368042,0.39880651235580444,0.000100000005,0.86676424741745,0.3039281368255615
49,0.8235294222831726,0.3793911039829254,0.000100000005,0.8623718619346619,0.3133089244365692
50,0.8227450847625732,0.3959115445613861,0.000100000005,0.8696925044059753,0.29404789209365845
51,0.8364706039428711,0.38544735312461853,0.000100000005,0.8770132064819336,0.2762743830680847
52,0.8239215612411499,0.38175907731056213,0.000100000005,0.86676424741745,0.29016605019569397
53,0.8317646980285645,0.38190406560897827,0.000100000005,0.8682283759117126,0.30517837405204773
