2023-08-31 04:38:57 RAM 3426/3956MB (lfb 7x4MB) SWAP 1220/4026MB (cached 72MB) CPU [41%@1479,38%@1479,38%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 97% PLL@39C CPU@44C PMIC@50C GPU@40.5C AO@50.5C thermal@41.75C
2023-08-31 04:39:57 RAM 3406/3956MB (lfb 9x4MB) SWAP 1250/4026MB (cached 71MB) CPU [43%@1479,40%@1479,39%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44.5C PMIC@50C GPU@40C AO@50.5C thermal@42C
2023-08-31 04:40:57 RAM 3416/3956MB (lfb 9x4MB) SWAP 1249/4026MB (cached 71MB) CPU [43%@1479,37%@1479,42%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@42.5C PMIC@50C GPU@39.5C AO@50.5C thermal@42.25C
2023-08-31 04:41:57 RAM 3421/3956MB (lfb 9x4MB) SWAP 1249/4026MB (cached 71MB) CPU [40%@1479,38%@1479,39%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 86% PLL@40C CPU@43.5C PMIC@50C GPU@40.5C AO@50.5C thermal@42.5C
2023-08-31 04:42:57 RAM 3425/3956MB (lfb 9x4MB) SWAP 1249/4026MB (cached 71MB) CPU [37%@1479,39%@1479,38%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 84% PLL@40C CPU@43C PMIC@50C GPU@41C AO@51C thermal@41.5C
2023-08-31 04:43:57 RAM 3425/3956MB (lfb 9x4MB) SWAP 1248/4026MB (cached 71MB) CPU [38%@1479,38%@1479,37%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 41% PLL@39.5C CPU@43C PMIC@50C GPU@40C AO@50.5C thermal@42.5C
2023-08-31 04:44:57 RAM 3418/3956MB (lfb 9x4MB) SWAP 1264/4026MB (cached 71MB) CPU [38%@1479,39%@1479,38%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@44.5C PMIC@50C GPU@40.5C AO@50.5C thermal@42C
2023-08-31 04:45:57 RAM 3390/3956MB (lfb 8x4MB) SWAP 1289/4026MB (cached 79MB) CPU [44%@1479,44%@1479,39%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 74% PLL@39.5C CPU@42.5C PMIC@50C GPU@40.5C AO@50.5C thermal@40.75C
2023-08-31 04:46:57 RAM 3389/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [38%@1479,41%@1479,39%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43.5C PMIC@50C GPU@39.5C AO@49.5C thermal@42.75C
2023-08-31 04:47:57 RAM 3390/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [36%@1479,36%@1479,40%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 13% PLL@39.5C CPU@43.5C PMIC@50C GPU@40C AO@49.5C thermal@42C
2023-08-31 04:48:57 RAM 3390/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [38%@1479,36%@1479,41%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@40C CPU@43C PMIC@50C GPU@39.5C AO@50C thermal@41.5C
