2023-09-04 06:01:24 RAM 3283/3956MB (lfb 3x4MB) SWAP 1988/4026MB (cached 174MB) CPU [42%@1479,38%@1479,39%@1479,44%@1479] EMC_FREQ 0% GR3D_FREQ 39% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:02:24 RAM 3284/3956MB (lfb 3x4MB) SWAP 1988/4026MB (cached 174MB) CPU [37%@1479,39%@1479,41%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 94% PLL@28.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38.5C thermal@29.75C
2023-09-04 06:03:24 RAM 3287/3956MB (lfb 3x4MB) SWAP 1982/4026MB (cached 174MB) CPU [37%@1479,36%@1479,43%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 16% PLL@28.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C
2023-09-04 06:04:24 RAM 3282/3956MB (lfb 3x4MB) SWAP 1982/4026MB (cached 174MB) CPU [43%@1479,41%@1479,36%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@29.5C
2023-09-04 06:05:24 RAM 3288/3956MB (lfb 3x4MB) SWAP 1981/4026MB (cached 174MB) CPU [39%@1479,35%@1479,42%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@28C CPU@32C PMIC@50C GPU@28.5C AO@38.5C thermal@30.5C
2023-09-04 06:06:24 RAM 3289/3956MB (lfb 3x4MB) SWAP 1981/4026MB (cached 174MB) CPU [41%@1479,40%@1479,37%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@50C GPU@28.5C AO@38.5C thermal@30.75C
2023-09-04 06:07:24 RAM 3287/3956MB (lfb 3x4MB) SWAP 1980/4026MB (cached 174MB) CPU [39%@1479,42%@1479,42%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30.75C
2023-09-04 06:08:24 RAM 3285/3956MB (lfb 3x4MB) SWAP 1980/4026MB (cached 173MB) CPU [37%@1479,35%@1479,42%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@28C CPU@32C PMIC@50C GPU@29C AO@39C thermal@30.75C
2023-09-04 06:09:24 RAM 3294/3956MB (lfb 3x4MB) SWAP 1979/4026MB (cached 173MB) CPU [38%@1479,37%@1479,34%@1479,46%@1479] EMC_FREQ 0% GR3D_FREQ 93% PLL@28.5C CPU@32.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C
2023-09-04 06:10:24 RAM 3301/3956MB (lfb 3x4MB) SWAP 1974/4026MB (cached 173MB) CPU [37%@1479,38%@1479,36%@1479,46%@1479] EMC_FREQ 0% GR3D_FREQ 36% PLL@28C CPU@32C PMIC@50C GPU@29C AO@38.5C thermal@30.5C
