2023-08-30 22:31:23 RAM 3519/3956MB (lfb 7x1MB) SWAP 1436/4026MB (cached 167MB) CPU [24%@1224,24%@1224,22%@1224,19%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@46C AO@55C thermal@47C
2023-08-30 22:32:23 RAM 3521/3956MB (lfb 1x2MB) SWAP 1439/4026MB (cached 167MB) CPU [18%@1224,13%@1224,15%@1224,15%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@45.5C AO@55.5C thermal@47.5C
2023-08-30 22:33:23 RAM 3520/3956MB (lfb 32x1MB) SWAP 1441/4026MB (cached 167MB) CPU [22%@1224,23%@1224,22%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48C PMIC@50C GPU@46C AO@55.5C thermal@47.25C
2023-08-30 22:34:23 RAM 3513/3956MB (lfb 33x1MB) SWAP 1441/4026MB (cached 167MB) CPU [23%@1224,24%@1224,23%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@45.5C AO@56C thermal@47.75C
2023-08-30 22:35:23 RAM 3515/3956MB (lfb 33x1MB) SWAP 1444/4026MB (cached 167MB) CPU [23%@1224,21%@1224,24%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@49C PMIC@50C GPU@46C AO@55.5C thermal@47.5C
2023-08-30 22:36:23 RAM 3514/3956MB (lfb 33x1MB) SWAP 1446/4026MB (cached 167MB) CPU [12%@1224,14%@1224,14%@1224,13%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@49C PMIC@50C GPU@46C AO@55.5C thermal@48C
2023-08-30 22:37:23 RAM 3527/3956MB (lfb 27x1MB) SWAP 1444/4026MB (cached 172MB) CPU [23%@1224,25%@1224,21%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@46C AO@56C thermal@47.25C
2023-08-30 22:38:23 RAM 3525/3956MB (lfb 27x1MB) SWAP 1444/4026MB (cached 172MB) CPU [22%@1479,22%@1479,22%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@50C PMIC@50C GPU@46C AO@56.5C thermal@47.5C
2023-08-30 22:39:23 RAM 3522/3956MB (lfb 27x1MB) SWAP 1446/4026MB (cached 171MB) CPU [24%@1224,22%@1224,24%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@46.5C AO@56.5C thermal@48C
2023-08-30 22:40:23 RAM 3521/3956MB (lfb 27x1MB) SWAP 1450/4026MB (cached 171MB) CPU [14%@1479,16%@1479,15%@1479,13%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@46.5C AO@56C thermal@47.75C
2023-08-30 22:41:23 RAM 3514/3956MB (lfb 27x1MB) SWAP 1454/4026MB (cached 171MB) CPU [23%@1479,22%@1479,23%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@46.5C AO@56.5C thermal@48.25C
2023-08-30 22:42:23 RAM 3516/3956MB (lfb 27x1MB) SWAP 1456/4026MB (cached 171MB) CPU [21%@1224,24%@1224,22%@1224,24%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@47.5C AO@56.5C thermal@48.75C
2023-08-30 22:43:23 RAM 3518/3956MB (lfb 27x1MB) SWAP 1456/4026MB (cached 171MB) CPU [23%@1224,25%@1224,20%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@47.5C AO@56.5C thermal@49C
