2023-08-30 18:53:13 RAM 3228/3956MB (lfb 94x4MB) SWAP 1526/4026MB (cached 104MB) CPU [26%@1479,26%@1479,26%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@41.5C AO@51.5C thermal@43C
2023-08-30 18:54:13 RAM 3230/3956MB (lfb 94x4MB) SWAP 1527/4026MB (cached 104MB) CPU [28%@307,22%@307,22%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44C PMIC@50C GPU@42C AO@52C thermal@43.5C
2023-08-30 18:55:13 RAM 3227/3956MB (lfb 94x4MB) SWAP 1529/4026MB (cached 104MB) CPU [30%@1428,24%@1428,23%@1428,22%@1428] EMC_FREQ 0% GR3D_FREQ 56% PLL@40.5C CPU@45C PMIC@50C GPU@43C AO@52.5C thermal@44.25C
2023-08-30 18:56:13 RAM 3229/3956MB (lfb 94x4MB) SWAP 1532/4026MB (cached 104MB) CPU [28%@1479,27%@1479,26%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@44.75C
2023-08-30 18:57:13 RAM 3215/3956MB (lfb 94x4MB) SWAP 1550/4026MB (cached 105MB) CPU [25%@307,22%@307,33%@307,29%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46C PMIC@50C GPU@44C AO@53.5C thermal@45.25C
2023-08-30 18:58:13 RAM 3220/3956MB (lfb 94x4MB) SWAP 1550/4026MB (cached 105MB) CPU [23%@102,21%@307,22%@307,18%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44C AO@54C thermal@45C
2023-08-30 18:59:13 RAM 3222/3956MB (lfb 94x4MB) SWAP 1550/4026MB (cached 104MB) CPU [28%@1479,32%@1479,25%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@45.25C
2023-08-30 19:00:13 RAM 3225/3956MB (lfb 94x4MB) SWAP 1549/4026MB (cached 104MB) CPU [26%@1479,33%@1479,27%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@46.25C
2023-08-30 19:01:13 RAM 3223/3956MB (lfb 94x4MB) SWAP 1549/4026MB (cached 104MB) CPU [27%@204,27%@204,24%@204,21%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@45.75C
2023-08-30 19:02:13 RAM 3228/3956MB (lfb 94x4MB) SWAP 1548/4026MB (cached 104MB) CPU [28%@307,24%@307,23%@307,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@44.5C AO@55C thermal@46.75C
2023-08-30 19:03:13 RAM 3229/3956MB (lfb 94x4MB) SWAP 1545/4026MB (cached 104MB) CPU [31%@403,27%@403,25%@403,23%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@45C AO@54.5C thermal@46C
2023-08-30 19:04:13 RAM 3225/3956MB (lfb 94x4MB) SWAP 1545/4026MB (cached 104MB) CPU [25%@1224,27%@1224,31%@1224,24%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@49C PMIC@50C GPU@45.5C AO@55.5C thermal@46.75C
