epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5232611894607544,0.998366117477417,0.001,0.7184942960739136,0.6689236164093018
1,0.6047903895378113,0.8273066878318787,0.001,0.7217676043510437,0.6070405840873718
2,0.6232150793075562,0.7778416872024536,0.001,0.7364975214004517,0.6193320751190186
3,0.6209120154380798,0.7652248740196228,0.001,0.67103111743927,0.5742970108985901
4,0.6282818913459778,0.7503615021705627,0.001,0.7086743116378784,0.6773913502693176
5,0.6439428925514221,0.725947916507721,0.001,0.728314220905304,0.5783790349960327
6,0.6305849552154541,0.7125166654586792,0.001,0.777414083480835,0.5446326732635498
7,0.6761860847473145,0.7010855674743652,0.001,0.7806873917579651,0.557601809501648
8,0.6619069576263428,0.6982989311218262,0.001,0.664484441280365,0.6042189002037048
9,0.6421003937721252,0.7034728527069092,0.001,0.7463175058364868,0.5527603030204773
10,0.6720405220985413,0.6692701578140259,0.001,0.7234042286872864,0.5559507608413696
11,0.6701980829238892,0.6856932640075684,0.001,0.6513911485671997,0.6150873899459839
12,0.6536158323287964,0.6991209387779236,0.001,0.67103111743927,0.6228269338607788
13,0.6600644588470459,0.6821165680885315,0.001,0.7545008063316345,0.5305736660957336
14,0.6665131449699402,0.6796380281448364,0.001,0.7463175058364868,0.5201826691627502
15,0.6784891486167908,0.6660070419311523,0.001,0.7823240756988525,0.5394930839538574
16,0.6918470859527588,0.6347475647926331,0.001,0.7675940990447998,0.5445290803909302
17,0.6840165853500366,0.6580628156661987,0.001,0.7708674073219299,0.5587732195854187
18,0.6840165853500366,0.6493044495582581,0.001,0.7839607000350952,0.5172802805900574
19,0.6655918955802917,0.6543731093406677,0.001,0.7217676043510437,0.5153139233589172
20,0.6853984594345093,0.6163517236709595,0.001,0.7855973839759827,0.5202188491821289
21,0.6803316473960876,0.6368454098701477,0.001,0.7626841068267822,0.502480685710907
22,0.6890833973884583,0.6320934891700745,0.001,0.7463175058364868,0.5900052785873413
23,0.6720405220985413,0.6672598123550415,0.001,0.7021276354789734,0.5235769748687744
24,0.6890833973884583,0.6489769220352173,0.001,0.6612111330032349,0.5949563980102539
25,0.6840165853500366,0.6408888101577759,0.001,0.7626841068267822,0.5251975655555725
26,0.6637493968009949,0.6593030691146851,0.001,0.7970539927482605,0.5031870603561401
27,0.6964532732963562,0.626033365726471,0.001,0.7921440005302429,0.47899511456489563
28,0.7019806504249573,0.6167334318161011,0.001,0.7643207907676697,0.4792894423007965
29,0.6969138383865356,0.6090033650398254,0.001,0.7315875887870789,0.4847378730773926
30,0.682634711265564,0.6379590034484863,0.001,0.8085106611251831,0.5003251433372498
31,0.6748042106628418,0.638883650302887,0.001,0.7168576121330261,0.4984351694583893
32,0.7038231492042542,0.6353304386138916,0.001,0.7577741146087646,0.48063990473747253
33,0.6950713992118835,0.6308382749557495,0.001,0.8183305859565735,0.47551870346069336
34,0.7116535902023315,0.6130698919296265,0.001,0.7823240756988525,0.510417103767395
