epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5462920069694519,0.992506742477417,0.001,0.7315875887870789,0.6289711594581604
1,0.6158452033996582,0.8144088387489319,0.001,0.713584303855896,0.570740282535553
2,0.6310455799102783,0.7563768029212952,0.001,0.6775777339935303,0.5854125618934631
3,0.6434822678565979,0.72599858045578,0.001,0.7512274980545044,0.519676923751831
4,0.6425610184669495,0.7174777388572693,0.001,0.7495908141136169,0.5392255187034607
5,0.654997706413269,0.7239044308662415,0.001,0.7692307829856873,0.5145156979560852
6,0.6688162088394165,0.6739596128463745,0.001,0.7512274980545044,0.5255735516548157
7,0.6678949594497681,0.6945505142211914,0.001,0.7528641819953918,0.5038318037986755
8,0.6858590245246887,0.6635804772377014,0.001,0.7806873917579651,0.5121999382972717
9,0.6725011467933655,0.6715791821479797,0.001,0.7168576121330261,0.5479588508605957
10,0.688622772693634,0.659863293170929,0.001,0.756137490272522,0.5255969762802124
11,0.6803316473960876,0.6663005352020264,0.001,0.7823240756988525,0.4702742397785187
12,0.692307710647583,0.6390247344970703,0.001,0.7659574747085571,0.49286404252052307
13,0.6807922720909119,0.6547636389732361,0.001,0.7970539927482605,0.4605550169944763
14,0.6909258365631104,0.6289846897125244,0.001,0.7675940990447998,0.4851744472980499
15,0.6798710227012634,0.6561089158058167,0.001,0.7708674073219299,0.5164130330085754
