epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.555965006351471,0.9644024968147278,0.001,0.6530278325080872,0.6229850649833679
1,0.6186089515686035,0.7905195951461792,0.001,0.6546644568443298,0.5836506485939026
2,0.6301243901252747,0.7630802392959595,0.001,0.7299509048461914,0.5808725953102112
3,0.6421003937721252,0.7196269035339355,0.001,0.6939443349838257,0.5608440637588501
4,0.6591432690620422,0.6978179216384888,0.001,0.7741407752037048,0.5257130265235901
5,0.6609857082366943,0.695732593536377,0.001,0.6382978558540344,0.5948202013969421
6,0.6798710227012634,0.6623495221138,0.001,0.7937806844711304,0.4759541451931
