epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5039152503013611,1.0767858028411865,0.001,0.6612111330032349,0.7402682304382324
1,0.5734684467315674,0.897399365901947,0.001,0.7299509048461914,0.6705906987190247
2,0.6075541377067566,0.8534677028656006,0.001,0.6464811563491821,0.6635164022445679
3,0.6135421395301819,0.8025192022323608,0.001,0.6448445320129395,0.7433196306228638
4,0.6259788274765015,0.794319212436676,0.001,0.7054010033607483,0.6155463457107544
5,0.6241363286972046,0.78452068567276,0.001,0.728314220905304,0.5846260786056519
6,0.6269000172615051,0.7614944577217102,0.001,0.67103111743927,0.6724206209182739
7,0.6536158323287964,0.7351692318916321,0.001,0.7806873917579651,0.5571725368499756
8,0.6619069576263428,0.7552686333656311,0.001,0.7234042286872864,0.6279380917549133
9,0.6361123919487,0.7708596587181091,0.001,0.7430441975593567,0.5689595341682434
10,0.6499308943748474,0.756019651889801,0.001,0.7168576121330261,0.5901486873626709
11,0.6448641419410706,0.738547682762146,0.001,0.7381342053413391,0.5901795029640198
12,0.6577613949775696,0.7303099632263184,0.001,0.728314220905304,0.594797670841217
13,0.652694582939148,0.7399128675460815,0.001,0.7823240756988525,0.5235757231712341
14,0.662367582321167,0.7174863815307617,0.001,0.7937806844711304,0.5280196070671082
15,0.6807922720909119,0.7151599526405334,0.001,0.777414083480835,0.535487949848175
16,0.6642100214958191,0.7013083696365356,0.001,0.7430441975593567,0.5355878472328186
17,0.649009644985199,0.7360197901725769,0.001,0.7970539927482605,0.5306140184402466
18,0.6729617714881897,0.7134110331535339,0.001,0.7610474824905396,0.5009666085243225
19,0.6642100214958191,0.7198495268821716,0.001,0.7757773995399475,0.5428075790405273
20,0.6632888317108154,0.7151160836219788,0.001,0.8003273606300354,0.4840530455112457
21,0.6688162088394165,0.6978222727775574,0.001,0.756137490272522,0.5174582600593567
22,0.6729617714881897,0.6917730569839478,0.001,0.8003273606300354,0.4986876845359802
23,0.6877015233039856,0.6707671284675598,0.001,0.7610474824905396,0.5581635236740112
